Campaign,Ad Group,Ad Group Status,Ad Group Default Max CPC
Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,Enabled,1.0
Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,Enabled,3.0
Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,Enabled,3.0
Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,Enabled,3.0
Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,Enabled,3.0
Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,Enabled,3.0
Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,Enabled,3.0
Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,Enabled,3.0
Search_NB_LocalNJ_MaxConv,Search_NB_VetCliftonNJ_MaxConv,Enabled,2.5
Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,Enabled,2.0
Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,Enabled,2.5
Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,Enabled,2.5
Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,Enabled,2.5
Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,Enabled,2.5
Search_NB_ProcedureIntent_MaxConv,Search_NB_WellnessExam_MaxConv,Enabled,2.5
Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,Enabled,2.5
