Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,snoots vet,Exact match
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,joinsnoots,Exact match
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,join snoots,Exact match
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,snoots vet nj,Exact match
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,snoots vet clifton,Exact match
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,snoots membership,Exact match
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,snoots vet,Phrase match
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,join snoots,Phrase match
Keyword,Add,Enabled,Search_Brand_Snoots_MaxConv,Search_Brand_SnootesBrand_MaxConv,snoots membership,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,unlimited vet care,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,unlimited vet visits,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,flat fee vet,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,monthly vet plan,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,vet subscription,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,vet membership,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,unlimited veterinary care,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,vet membership plan,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,unlimited vet care,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,flat fee vet,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,vet subscription,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_UnlimitedVetCare_MaxConv,vet membership,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,affordable vet care,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,low cost vet care,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,cheap vet care,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,affordable veterinarian,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,budget vet care,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,inexpensive vet,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,affordable vet nj,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,low cost vet nj,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,affordable vet,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_AffordableVet_MaxConv,low cost vet nj,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,vet bills too expensive,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,can't afford vet,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,vet care costs,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,how to afford vet bills,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,vet payment plan,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,vet financing nj,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,vet bills too expensive,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_CostAnxiety_MaxConv,vet payment plan,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,concierge vet nj,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,membership based vet,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,subscription vet care,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,preventive vet care plan,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,pet care membership,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,direct primary care vet,Phrase match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,concierge vet nj,Exact match
Keyword,Add,Enabled,Search_NB_UnlimitedVet_MaxConv,Search_NB_Concierge_MaxConv,pet care membership,Exact match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,pet insurance alternative,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,alternative to pet insurance,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,pet wellness plan,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,pet health plan,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,pet care plan,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,dog health plan,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,cat health plan,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,pet subscription vet,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,is pet insurance worth it,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,pet insurance alternative,Exact match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,pet wellness plan,Exact match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_PetInsuranceAlt_MaxConv,pet health plan,Exact match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,best pet insurance nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,pet insurance vs wellness plan,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,is pet insurance worth it for dogs,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,pet insurance no waiting period,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,pet insurance pre-existing conditions,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,lemonade pet insurance alternative,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,trupanion alternative,Phrase match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,best pet insurance nj,Exact match
Keyword,Add,Enabled,Search_NB_PetInsuranceAlt_MaxConv,Search_NB_InsuranceResearch_MaxConv,trupanion alternative,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,vet near me,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,veterinarian near me,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,animal hospital near me,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,dog vet near me,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,cat vet near me,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,vet clinic near me,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,vet near me,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetNearMe_MaxConv,veterinarian near me,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetCliftonNJ_MaxConv,vet clifton nj,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetCliftonNJ_MaxConv,veterinarian clifton nj,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetCliftonNJ_MaxConv,animal hospital clifton nj,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetCliftonNJ_MaxConv,vet clifton,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetCliftonNJ_MaxConv,vet clifton nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_VetCliftonNJ_MaxConv,veterinarian clifton nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet passaic nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet paterson nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet wayne nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet nutley nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet bloomfield nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet montclair nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet hawthorne nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet garfield nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet rutherford nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet teaneck nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet fair lawn nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,vet lyndhurst nj,Exact match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,veterinarian passaic nj,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,veterinarian paterson nj,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,veterinarian wayne nj,Phrase match
Keyword,Add,Enabled,Search_NB_LocalNJ_MaxConv,Search_NB_HyperLocal_MaxConv,veterinarian nutley nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,dog vet membership,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,unlimited dog vet care,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,dog vet subscription,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,puppy vet plan,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,dog health plan nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,dog vet nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,dog vet membership,Exact match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_DogVet_MaxConv,dog vet nj,Exact match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,cat vet membership,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,unlimited cat vet care,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,cat vet subscription,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,kitten vet plan,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,cat health plan nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,cat vet nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,cat vet membership,Exact match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_CatVet_MaxConv,cat vet nj,Exact match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,new puppy vet visit,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,puppy first vet visit,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,puppy vaccine schedule nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,kitten first vet visit,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,dog wellness exam nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,cat wellness exam nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,senior dog vet nj,Phrase match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,new puppy vet visit,Exact match
Keyword,Add,Enabled,Search_NB_PetSpecific_MaxConv,Search_NB_LifeStage_MaxConv,puppy first vet visit,Exact match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,dog vaccinations nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,cat vaccinations nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,puppy vaccinations nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,kitten vaccinations nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,dog vaccines nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,cat vaccines nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,pet vaccinations near me,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,dog vaccinations nj,Exact match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Vaccinations_MaxConv,cat vaccinations nj,Exact match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_WellnessExam_MaxConv,dog wellness exam nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_WellnessExam_MaxConv,cat wellness exam nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_WellnessExam_MaxConv,pet annual exam nj,Phrase match
