Campaign,Keyword,Match Type
Search_Brand_Snoots_MaxConv,snoots snack,Broad
Search_Brand_Snoots_MaxConv,snoots candy,Broad
Search_Brand_Snoots_MaxConv,snoots bar,Broad
Search_Brand_Snoots_MaxConv,snoots food,Broad
Search_Brand_Snoots_MaxConv,free snoots,Broad
Search_Brand_Snoots_MaxConv,snoots coupon,Broad
Search_Brand_Snoots_MaxConv,snoots promo code,Broad
Search_Brand_Snoots_MaxConv,snoots jobs,Broad
Search_Brand_Snoots_MaxConv,snoots careers,Broad
Search_Brand_Snoots_MaxConv,snoots complaints,Broad
Search_NB_UnlimitedVet_MaxConv,snoots,Broad
Search_NB_UnlimitedVet_MaxConv,joinsnoots,Broad
Search_NB_UnlimitedVet_MaxConv,snootsvet,Broad
Search_NB_UnlimitedVet_MaxConv,free,Broad
Search_NB_UnlimitedVet_MaxConv,diy,Broad
Search_NB_UnlimitedVet_MaxConv,home vet,Broad
Search_NB_UnlimitedVet_MaxConv,jobs,Broad
Search_NB_UnlimitedVet_MaxConv,careers,Broad
Search_NB_UnlimitedVet_MaxConv,salary,Broad
Search_NB_UnlimitedVet_MaxConv,login,Broad
Search_NB_UnlimitedVet_MaxConv,portal,Broad
Search_NB_UnlimitedVet_MaxConv,how to become a vet,Broad
Search_NB_UnlimitedVet_MaxConv,vet school,Broad
Search_NB_UnlimitedVet_MaxConv,veterinary school,Broad
Search_NB_UnlimitedVet_MaxConv,vet tech,Broad
Search_NB_UnlimitedVet_MaxConv,vet assistant,Broad
Search_NB_UnlimitedVet_MaxConv,vet technician,Broad
Search_NB_UnlimitedVet_MaxConv,wildlife vet,Broad
Search_NB_UnlimitedVet_MaxConv,exotic vet,Broad
Search_NB_UnlimitedVet_MaxConv,emergency vet,Broad
Search_NB_UnlimitedVet_MaxConv,24 hour vet,Broad
Search_NB_UnlimitedVet_MaxConv,overnight vet,Broad
Search_NB_UnlimitedVet_MaxConv,vet hospital,Broad
Search_NB_PetInsuranceAlt_MaxConv,snoots,Broad
Search_NB_PetInsuranceAlt_MaxConv,joinsnoots,Broad
Search_NB_PetInsuranceAlt_MaxConv,snootsvet,Broad
Search_NB_PetInsuranceAlt_MaxConv,free,Broad
Search_NB_PetInsuranceAlt_MaxConv,diy,Broad
Search_NB_PetInsuranceAlt_MaxConv,home vet,Broad
Search_NB_PetInsuranceAlt_MaxConv,jobs,Broad
Search_NB_PetInsuranceAlt_MaxConv,careers,Broad
Search_NB_PetInsuranceAlt_MaxConv,salary,Broad
Search_NB_PetInsuranceAlt_MaxConv,login,Broad
Search_NB_PetInsuranceAlt_MaxConv,portal,Broad
Search_NB_PetInsuranceAlt_MaxConv,how to become a vet,Broad
Search_NB_PetInsuranceAlt_MaxConv,vet school,Broad
Search_NB_PetInsuranceAlt_MaxConv,veterinary school,Broad
Search_NB_PetInsuranceAlt_MaxConv,vet tech,Broad
Search_NB_PetInsuranceAlt_MaxConv,vet assistant,Broad
Search_NB_PetInsuranceAlt_MaxConv,vet technician,Broad
Search_NB_PetInsuranceAlt_MaxConv,wildlife vet,Broad
Search_NB_PetInsuranceAlt_MaxConv,exotic vet,Broad
Search_NB_PetInsuranceAlt_MaxConv,emergency vet,Broad
Search_NB_PetInsuranceAlt_MaxConv,24 hour vet,Broad
Search_NB_PetInsuranceAlt_MaxConv,overnight vet,Broad
Search_NB_PetInsuranceAlt_MaxConv,vet hospital,Broad
Search_NB_LocalNJ_MaxConv,snoots,Broad
Search_NB_LocalNJ_MaxConv,joinsnoots,Broad
Search_NB_LocalNJ_MaxConv,snootsvet,Broad
Search_NB_LocalNJ_MaxConv,free,Broad
Search_NB_LocalNJ_MaxConv,diy,Broad
Search_NB_LocalNJ_MaxConv,home vet,Broad
Search_NB_LocalNJ_MaxConv,jobs,Broad
Search_NB_LocalNJ_MaxConv,careers,Broad
Search_NB_LocalNJ_MaxConv,salary,Broad
Search_NB_LocalNJ_MaxConv,login,Broad
Search_NB_LocalNJ_MaxConv,portal,Broad
Search_NB_LocalNJ_MaxConv,how to become a vet,Broad
Search_NB_LocalNJ_MaxConv,vet school,Broad
Search_NB_LocalNJ_MaxConv,veterinary school,Broad
Search_NB_LocalNJ_MaxConv,vet tech,Broad
Search_NB_LocalNJ_MaxConv,vet assistant,Broad
Search_NB_LocalNJ_MaxConv,vet technician,Broad
Search_NB_LocalNJ_MaxConv,wildlife vet,Broad
Search_NB_LocalNJ_MaxConv,exotic vet,Broad
Search_NB_LocalNJ_MaxConv,emergency vet,Broad
