"Type","Status","Campaign","Campaign Daily Budget","Campaign Type","Bid Strategy Type","Networks","Languages","Ad Group","Default Max CPC","Keyword","Match Type","Final URL","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Headline 13","Headline 14","Headline 15","Headline 1 position","Headline 2 position","Headline 3 position","Headline 4 position","Headline 5 position","Headline 6 position","Headline 7 position","Headline 8 position","Headline 9 position","Headline 10 position","Headline 11 position","Headline 12 position","Headline 13 position","Headline 14 position","Headline 15 position","Description 1","Description 2","Description 3","Description 4","Path 1","Path 2"
"Campaign","Paused","Brand — Snoots Vet","25","Search","Maximize Conversions","Google Search","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign","Paused","NB — Unlimited Vet Membership","60","Search","Maximize Conversions","Google Search","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign","Paused","NB — Pet Insurance Alternative","40","Search","Maximize Conversions","Google Search","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign","Paused","NB — Local NJ Vet","50","Search","Maximize Conversions","Google Search","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign","Paused","NB — Pet-Specific","30","Search","Maximize Conversions","Google Search","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ad Group","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ad Group","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ad Group","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ad Group","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ad Group","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ad Group","Enabled","NB — Local NJ Vet","","","","","","Vet Clifton NJ","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ad Group","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ad Group","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","snoots vet","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","joinsnoots","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","join snoots","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","snoots vet nj","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","snoots vet clifton","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","snoots membership","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","snoots vet","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","join snoots","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","snoots membership","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","unlimited vet care","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","unlimited vet visits","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","flat fee vet","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","monthly vet plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","vet subscription","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","vet membership","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","unlimited veterinary care","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","vet membership plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","unlimited vet care","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","flat fee vet","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","vet subscription","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","vet membership","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","affordable vet care","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","low cost vet care","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","cheap vet care","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","affordable veterinarian","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","budget vet care","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","inexpensive vet","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","affordable vet nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","low cost vet nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","affordable vet","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","low cost vet nj","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","pet insurance alternative","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","alternative to pet insurance","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","pet wellness plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","pet health plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","pet care plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","dog health plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","cat health plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","pet subscription vet","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","is pet insurance worth it","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","pet insurance alternative","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","pet wellness plan","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
